ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Candidatus Eisenbacteria	15	14	86	12	2	16	60	51	9	9	3	122	28	0	5	6	102	21	93	20	32	6	41	1	11	21	60	7	20	9	28	26	29	13	6	12	53	6	11	12	129	68	198	52	24	15	10	22	9	9	76	62	28	39	14
Candidatus Firestonebacteria	3	2	4	3	4	16	13	5	3	1	109	20	6	0	13	15	18	17	4	10	2	156	57	0	5	4	4	30	1	1	10	4	8	8	2	2	4	5	15	13	11	13	20	19	10	3	4	3	1	0	10	42	4	22	16
Candidatus Fischerbacteria	2	3	5	6	1	1	5	0	0	0	1	5	3	0	1	24	13	3	10	1	0	0	2	1	8	7	0	26	4	0	5	2	13	1	6	3	2	0	3	10	11	2	9	0	6	3	17	121	1	0	3	8	2	1	16
Candidatus Fraserbacteria	0	3	1	0	0	0	0	0	1	5	0	1	0	1	0	0	3	2	4	2	0	0	3	0	1	2	1	3	2	1	0	3	2	1	1	1	2	0	0	0	4	4	4	0	2	3	0	4	0	0	5	1	0	4	0
Candidatus Glassbacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	2	1
Candidatus Handelsmanbacteria	4	9	17	1	0	6	20	20	3	1	0	28	4	0	2	1	15	14	22	7	15	3	16	1	5	6	25	11	19	2	3	4	17	3	1	3	45	2	3	0	71	21	29	14	10	1	4	5	0	9	41	13	23	16	8
Candidatus Lindowbacteria	3	2	11	0	1	1	9	17	3	1	1	6	1	0	0	1	17	4	14	15	0	0	3	0	7	19	7	0	2	0	0	51	1	3	1	1	4	0	2	0	5	2	21	3	1	5	3	1	1	1	11	8	2	1	6
Candidatus Raymondbacteria	1	25	44	1	0	5	7	2	0	0	26	11	2	0	4	3	49	2	2	3	38	3	3	5	4	4	1	5	5	3	13	29	7	6	0	1	4	0	8	4	6	9	9	5	7	0	1	3	1	8	10	7	13	11	1
Candidatus Riflebacteria	2	9	39	2	1	6	9	8	6	8	1	13	20	0	2	0	25	16	23	4	9	4	9	0	5	4	31	3	0	0	67	17	8	40	5	2	7	5	5	2	20	13	23	33	9	1	3	9	2	2	4	15	6	6	3
Candidatus Schekmanbacteria	8	7	17	2	6	14	40	7	3	6	1	11	0	7	80	8	2	3	4	3	15	1	18	2	14	3	5	37	6	0	16	7	42	21	3	5	3	5	5	21	17	6	40	2	6	41	3	3	1	3	13	56	8	3	17
