ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Epsilonproteobacteria	358	237	968	176	225	9797	1218	567	324	584	158	747	456	608	391	329	838	561	234	315	444	591	4488	356	1418	1073	452	1408	288	118	680	463	502	1030	485	193	496	271	795	1108	680	1211	12957	2541	306	745	831	733	160	337	643	1194	1061	285	643
Fusobacteriia	189	536	575	245	9390	455	810	1040	2303	832	135	2258	387	51915	425	150	434	428	367	319	891	418	2030	9158	62436	556	824	1086	199	212	330	308	1260	41479	17098	129	1065	1472	4896	1513	487	615	540	289	343	401	481	459	33920	6712	711	6262	325	230	548
Nitrospira (203693)	27	72	329	24	8	248	187	191	61	124	23	306	130	72	280	88	290	206	112	91	145	365	175	25	198	82	116	256	87	46	144	148	145	119	62	40	170	34	94	227	295	231	348	103	103	201	61	133	24	39	143	178	52	90	146
Acidobacteriia	239	273	1157	572	26	673	745	472	185	577	56	1426	547	88	166	345	1191	464	984	447	759	698	794	48	702	321	564	819	300	198	424	595	607	483	198	299	808	164	652	391	1253	1024	1970	597	335	530	500	395	118	135	775	801	362	480	357
Holophagae	10	23	168	13	1	29	67	24	12	46	9	182	38	10	24	11	103	36	94	47	38	15	47	2	31	26	47	16	51	9	14	86	32	44	7	39	94	22	8	58	150	72	306	44	37	12	11	66	13	10	73	58	26	32	50
Blastocatellia	10	11	73	11	3	21	31	26	4	20	2	63	35	6	11	12	57	33	24	48	14	1	43	0	23	22	30	33	12	3	7	21	39	27	9	8	47	5	5	16	78	48	66	30	14	12	30	18	5	7	57	55	27	11	19
Thermoanaerobaculia	2	6	26	1	0	2	4	3	1	0	0	8	1	3	0	6	9	5	9	3	12	0	3	0	41	0	2	10	4	0	0	4	1	14	0	0	3	2	0	0	16	3	4	3	6	0	11	1	0	0	4	1	0	0	2
Vicinamibacteria	2	2	21	4	0	19	13	6	2	16	2	24	12	2	2	2	24	13	25	15	3	3	6	0	6	8	9	5	2	0	2	25	4	6	4	2	15	3	3	0	19	16	30	9	22	4	2	16	5	7	18	7	0	6	3
Dictyoglomia	0	0	1	0	0	11	10	0	0	15	1	2	4	21	1	1	1	15	0	8	38	0	8	1	6	6	25	5	6	0	4	1	1	1	12	1	0	0	24	1	3	49	2	0	0	0	0	0	1	1	6	2	0	1	1
Endomicrobia	0	0	6	0	3	11	5	3	2	3	0	3	0	12	5	0	7	5	1	6	2	1	1	0	6	4	0	2	1	0	0	1	0	0	9	1	3	3	11	2	1	6	6	3	1	0	0	10	0	2	8	17	0	4	0
