sample_name	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	awigen_id
soweto_15	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CHV0R
soweto_16	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	DIQ0S
soweto_17	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CAWOD
soweto_18	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CAX0E
soweto_19	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CBY0H
soweto_20	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CBZOI
soweto_21	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CCJOV
soweto_22	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CCPOB
soweto_23	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CDKOY
soweto_24	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CFI0B
soweto_25	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CFVOM
soweto_26	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CHPOL
soweto_27	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CKQOT
soweto_28	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CKXOB
soweto_29	human gut metagenome	Homo sapiens	Human stool	2017-10-01	South Africa: Soweto, Gauteng	26.25 S 27.85 E	CLNOT
