species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	site	rank
Prevotella ihumii	871.98404715923	-0.480972102284585	0.296026340452906	-1.62476116668781	0.104213458481405	0.166030365612107	Bushbuckridge	species
Bacteroides sp. 43_108	487.762413259944	-0.480917802661456	0.268112324248019	-1.79371762939394	0.0728582499890127	0.123533401517684	Bushbuckridge	species
Roseburia sp.	6366.26768425138	-0.478972529495877	0.2750064882103	-1.74167719682891	0.0815649448219784	0.13676773896945	Bushbuckridge	species
Prevotella oulorum	435.75349146765	-0.476509743569582	0.340181115222276	-1.4007530760731	0.161287924982925	0.241137365676442	Bushbuckridge	species
Ruminococcaceae bacterium UBA736	511.252599065393	-0.472964120052315	0.282467654494574	-1.67440098902156	0.0940518185723536	0.153054836121766	Bushbuckridge	species
Roseburia hominis	5297.72788583082	-0.457226795761702	0.265995338444061	-1.71892785203022	0.0856275099323221	0.142010651718359	Bushbuckridge	species
Ruminococcus sp. OM08-7	587.503658304526	-0.457222069392928	0.183288739020753	-2.49454533778618	0.0126118613708236	0.025182236355559	Bushbuckridge	species
Clostridium sp. AF32-12BH	445.568416546814	-0.455624253989563	0.177279718315031	-2.57008674381976	0.0101673052870204	0.0210633252874451	Bushbuckridge	species
Roseburia sp. OF03-24	594.874493757196	-0.448641762266171	0.277135453320503	-1.61885372979445	0.105478738385603	0.16688170200393	Bushbuckridge	species
Bacteroidales bacterium UBA6341	679.552256212718	-0.437980014767068	0.817395944286554	-0.535823572197131	0.592080489296109	0.695150593815741	Bushbuckridge	species
Butyricicoccus sp. AM29-23AC	2458.65740783182	-0.435047627899542	0.170139507641841	-2.55700533009275	0.010557759978123	0.021650541576759	Bushbuckridge	species
Eubacterium ramulus	1013.96653952935	-0.434391655212427	0.204018714992671	-2.12917552798052	0.03323974079777	0.0607726586272481	Bushbuckridge	species
