SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Fibrobacteres	787	720	324	1579	868	249	1262	442	646	870	288	130	520	138	963	479	579	715	309	978	712	668	190	585	216	494	1015	205	203	337	270	265	543	664	307	701	660	574	456	530	493	171	2232	835	934	600	712	222	460	708	181	1501	559	701	1108	344	375	169	99	689	188	803	696	457	825	466	561	374	119	291	141	844	166	224	371	407	313	210	902	227	877	691	1271	200	765	600	1597	371	597	548
Candidatus Latescibacteria	120	103	12	35	64	13	92	72	53	143	35	8	55	17	93	70	21	35	41	146	55	72	12	46	29	48	76	92	13	57	21	24	51	68	33	42	54	26	49	40	21	19	148	36	141	92	71	19	51	87	48	165	82	85	84	34	55	23	17	49	17	99	80	64	81	45	59	16	24	129	28	88	7	11	127	60	52	27	85	28	62	132	106	32	83	225	218	44	58	42
Gemmatimonadetes (142182)	334	483	331	394	746	180	312	1043	430	1191	716	95	307	204	606	636	212	297	297	933	523	952	155	462	243	244	804	346	449	179	444	303	334	611	186	963	592	698	498	439	183	196	2621	342	2032	623	662	393	523	840	189	1372	1231	839	685	241	760	157	166	514	225	1442	730	467	1034	362	584	206	128	266	251	928	70	195	643	437	238	242	1616	372	699	1101	791	162	812	1009	1683	387	396	709
Candidatus Hydrogenedentes	12	39	9	5	40	0	51	46	16	93	61	3	17	10	29	31	8	11	3	17	31	42	13	40	11	12	54	17	9	4	16	5	13	32	3	59	29	86	22	18	4	5	422	27	119	28	23	48	25	36	8	100	55	32	67	11	25	96	1	58	18	101	19	56	52	16	39	6	16	3	22	121	1	5	48	19	12	10	65	22	39	66	102	4	29	19	89	31	20	25
Candidatus Cloacimonetes	43	85	35	65	101	40	258	36	95	161	81	13	103	7	61	64	92	55	23	151	142	77	29	57	55	97	153	24	26	26	44	38	59	94	33	63	68	46	56	79	117	52	162	118	79	68	78	26	36	51	34	230	94	98	134	28	45	18	18	131	6	41	179	44	143	50	88	69	33	72	12	122	30	23	34	73	41	29	60	38	203	50	347	48	223	171	176	81	140	56
candidate division Zixibacteria	64	118	48	48	89	16	196	68	89	86	42	6	15	19	59	70	75	45	14	108	44	97	2	63	24	47	83	36	20	34	33	61	54	104	15	65	43	69	19	75	17	11	104	42	75	77	91	8	39	64	28	211	89	113	58	70	148	18	6	20	20	122	68	28	57	37	57	18	8	47	15	93	10	12	45	56	31	23	62	32	62	160	216	29	108	92	171	26	78	62
Candidatus Fermentibacteria	3	4	5	0	13	0	8	16	2	17	4	0	0	1	5	3	1	1	2	3	3	3	0	4	1	3	2	1	18	0	2	0	3	4	0	2	2	2	1	1	0	1	8	3	17	1	3	1	5	4	3	24	10	10	3	2	5	0	0	2	0	3	2	2	19	5	5	0	0	1	2	18	3	1	5	1	4	1	7	1	3	3	2	0	7	1	47	1	4	5
Candidatus Kryptonia	11	22	7	72	16	6	127	9	22	36	13	3	11	2	8	13	11	19	8	29	29	24	1	39	3	15	16	2	1	34	3	3	35	11	54	125	24	12	8	10	12	12	179	41	14	9	9	1	2	20	1	64	17	8	22	21	12	5	6	11	0	5	30	7	12	4	21	3	6	7	0	36	7	12	5	6	36	3	8	10	23	4	108	10	59	4	38	3	30	9
Firmicutes	6895049	4057291	919646	1218621	6400436	1221994	1824844	4416530	2115021	11027547	4364415	238219	975084	1292421	8031965	2879455	1092730	3395049	2052060	2592710	6413206	7328861	404003	1782926	2630783	2896567	8420001	760750	1196367	1269452	2968215	2523807	1700354	7418649	720407	3615784	7869541	1061395	417894	6763859	2179286	644648	3010562	1397840	10302842	4494605	2148962	779604	2128583	9173108	987157	9022744	3707773	5599970	17761015	675439	1831001	839066	2880692	2455421	657733	2968498	1273040	907646	1059571	2150371	5439099	574177	699628	10531704	1168523	965330	646557	420324	4105919	6718923	722709	1387907	3832541	2376048	7182647	5415553	3367655	1057258	6334103	1188800	7678253	2135269	4112060	8368491
Deinococcus-Thermus	250	470	112	106	580	72	257	680	276	944	537	38	124	244	344	354	92	268	221	379	381	700	39	396	185	218	683	137	136	111	276	84	115	492	168	327	468	265	191	253	55	80	1436	155	1315	441	268	256	328	629	48	1037	702	760	813	77	800	41	62	204	140	1101	312	252	419	314	527	64	52	164	139	312	29	49	583	371	135	222	1088	227	428	687	471	85	552	489	1216	199	210	486
