SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Sedimentisphaerales	11	43	13	6	8	10	31	17	37	6	5	20	13	12	8	0	37	10	7	4	15	3	1	5	3	2	6
Candidatus Brocadiales	100	88	20	18	26	24	45	17	48	13	8	4	63	7	8	2	33	10	8	1	14	7	5	5	1	2	10
Chlamydiales	352	820	200	134	690	352	1674	335	1440	579	541	254	271	186	101	272	845	108	143	116	357	384	51	196	162	112	1069
Parachlamydiales	108	110	26	6	30	11	107	9	70	10	6	6	78	17	6	13	90	14	12	10	40	8	1	1	4	5	10
Lentisphaerales	15	64	11	7	1	4	29	7	40	1	2	6	25	1	3	0	11	10	0	10	13	0	2	0	1	2	2
Victivallales	475	1523	333	178	99	289	560	641	382	410	47	254	705	856	516	25	1058	2342	511	494	334	649	22	14	48	128	572
Fibrobacterales	797	1522	354	169	516	323	1583	323	1126	260	252	288	543	177	173	234	1354	429	176	186	416	345	56	154	120	173	219
Fibromonadales	18	30	6	1	8	14	17	8	26	3	1	6	16	6	7	1	11	4	6	2	11	0	10	9	2	4	3
Gemmatimonadales	43	167	43	15	42	65	269	51	220	41	12	71	43	20	27	28	286	157	31	35	78	21	10	11	5	2	36
Bacillales	30296	59003	11273	11515	22929	14952	44346	21906	77745	18386	6537	7435	33266	17074	5635	6983	62633	8213	10088	26610	15223	6200	2950	4056	2102	9640	14500
Lactobacillales	15233	58930	8596	8621	11273	9705	31123	37574	40812	17065	6340	3928	14845	7546	4460	5384	23900	6177	6460	4338	14672	4198	5740	18067	5213	4917	10717
Halanaerobiales	688	745	221	121	264	283	459	332	780	264	56	74	464	217	58	106	575	78	108	66	221	109	32	66	43	118	173
Thermoanaerobacterales	596	1357	350	203	431	425	1284	336	1275	329	102	296	511	279	167	194	1136	297	232	183	471	137	52	134	77	134	263
Clostridiales	1227044	5006549	1043900	597811	1553161	1518005	5167238	2121107	5324230	1505749	486254	1438588	1210994	645026	532076	885464	4513571	1280998	625003	489825	2465836	546847	169119	494176	164905	238988	1607424
Candidatus Borkfalkiales	141	227	49	24	148	83	494	78	271	132	8	75	101	66	48	25	400	113	55	46	109	167	13	5	17	13	26
Erysipelotrichales	29391	95916	29838	13730	89716	47529	141562	331428	319356	176258	10908	8099	40433	40472	18434	16400	72301	15361	33655	8605	58564	9015	3389	75001	15494	9904	32489
Selenomonadales	8814	75827	13846	8558	2784	5160	9370	2448	11679	2036	5406	1947	4594	1406	892	4431	26858	1886	944	872	2168	647	281	3499	954	1911	2500
Acidaminococcales	90986	102859	24326	12951	127683	71488	430943	134626	229385	93094	8756	68171	99569	25881	49829	35175	315343	89166	60927	27412	86943	70387	8384	22504	3787	5976	17884
Veillonellales	8694	100385	24968	14149	2970	3957	8744	2113	69427	28865	7672	2970	8612	846	807	1462	12690	1151	780	1180	11635	488	949	1117	8518	670	1803
Limnochordales	4	20	3	2	11	6	52	10	47	8	2	18	2	6	8	0	53	34	2	5	13	2	0	0	0	0	10
Tissierellales	1494	2303	645	420	878	754	1480	759	2069	836	148	382	1156	520	266	335	1769	287	350	208	890	202	106	242	150	294	2797
Thermales	33	145	31	9	104	43	430	42	150	35	10	93	36	14	40	11	178	193	30	33	47	15	7	9	2	5	20
Deinococcales	149	283	47	19	67	61	476	85	344	41	20	198	109	46	56	26	390	274	36	67	55	27	7	6	4	14	44
Chthonomonadales	29	84	15	6	21	21	86	29	52	12	5	10	27	20	16	4	89	16	6	20	12	13	2	6	0	4	15
Chloroflexales	38	172	42	19	73	37	271	60	151	39	14	48	27	28	25	17	173	80	22	32	57	15	4	19	16	6	27
Kallotenuales	12	48	8	2	6	10	59	5	26	10	1	19	8	3	6	5	66	29	3	9	18	6	1	2	3	0	5
Thermomicrobiales	2	13	0	2	1	2	16	0	10	1	1	1	1	2	2	1	4	8	2	1	2	2	0	0	0	0	4
Sphaerobacterales	2	16	3	1	3	2	21	8	15	0	3	6	1	0	2	0	14	18	3	3	5	3	0	0	0	1	1
Anaerolineales	363	1084	209	118	336	291	1286	278	1183	221	63	345	284	167	135	113	1053	455	148	198	355	79	39	65	59	71	144
Dehalococcoidales	20	117	29	12	24	17	56	14	45	4	4	8	21	6	3	5	45	18	9	12	18	9	3	2	1	6	16
Ktedonobacterales	49	101	17	16	75	53	204	53	149	42	15	32	29	28	24	10	166	35	24	19	54	22	6	14	8	8	24
Thermogemmatisporales	7	24	4	3	1	2	7	0	16	0	2	5	2	2	1	1	19	6	1	0	0	1	0	0	0	0	0
Caldilineales	14	50	12	4	20	17	62	21	47	8	3	49	12	5	12	6	82	37	5	19	14	2	1	0	4	1	9
Ardenticatenales	3	20	3	1	7	7	16	5	24	2	0	13	2	1	2	2	22	5	3	4	8	1	1	0	0	2	3
Thermoflexales	3	12	2	0	6	7	27	2	24	0	0	4	4	3	3	1	15	7	1	6	5	0	0	0	0	0	3
Actinomycetales	332	869	147	92	351	249	2077	211	2218	212	100	568	322	127	256	124	1564	1770	186	188	267	72	22	36	20	54	243
Bifidobacteriales	827	1995	456	230	961	993	4412	865	3206	716	323	1002	933	399	492	361	3044	1503	579	737	821	220	233	168	78	101	1227
Micrococcales	1512	13484	1539	1181	1577	1052	9699	1329	7644	1099	501	2465	1512	596	796	556	7524	4803	519	980	1916	517	106	271	225	233	948
Corynebacteriales	3612	10757	1896	2669	2882	2008	10341	1635	5147	1064	591	1894	4132	938	754	626	5382	3778	630	2133	1311	582	985	274	1073	2019	1503
Micromonosporales	169	611	148	56	178	144	1208	173	902	110	58	535	181	89	133	65	1252	838	82	196	185	65	16	13	17	25	107
Propionibacteriales	252	1008	186	82	324	658	1908	276	1210	167	70	746	242	136	163	104	1615	1142	107	232	225	81	15	47	41	30	260
Pseudonocardiales	366	1235	250	109	333	221	2363	441	1568	181	88	927	308	165	222	124	1934	1555	166	350	336	109	20	49	43	43	238
Streptomycetales	1082	4080	811	424	1399	975	8454	1053	5553	650	306	3386	1014	481	729	451	6436	5820	476	1050	1229	358	89	159	125	125	777
Streptosporangiales	148	852	142	72	320	502	1692	294	1287	103	59	1173	139	104	111	55	1322	1258	80	178	542	54	13	21	29	20	139
Frankiales	51	186	42	14	58	30	327	42	184	31	10	111	66	18	26	18	265	212	17	46	40	10	3	2	2	9	21
Glycomycetales	25	74	15	8	22	16	163	19	114	21	7	54	20	15	20	9	129	103	13	27	14	6	0	0	1	0	12
Catenulisporales	6	43	5	4	28	7	145	10	72	13	2	36	8	8	10	8	91	49	1	13	9	2	1	1	1	0	7
Actinopolysporales	2	28	6	6	11	10	39	10	35	10	6	13	7	14	3	2	42	15	3	3	15	9	2	5	0	4	8
Kineosporiales	7	36	8	5	9	9	72	18	89	7	1	49	17	5	15	2	65	105	6	16	11	1	1	1	6	2	8
Jiangellales	12	78	14	8	21	19	170	21	105	13	0	74	9	13	15	14	135	104	7	19	18	14	0	9	0	2	12
Geodermatophilales	31	179	30	9	51	42	376	42	192	24	10	166	36	23	30	19	375	217	14	53	29	16	3	2	2	2	32
Nakamurellales	8	25	6	3	3	12	41	5	46	0	0	23	9	4	5	1	31	27	0	7	6	0	0	2	0	2	1
Candidatus Nanopelagicales	132	80	10	3	8	18	27	16	55	3	2	5	84	10	4	16	67	17	10	11	23	3	1	5	1	12	4
Sporichthyales	2	9	6	3	9	4	29	2	19	2	2	12	4	3	3	2	28	30	7	3	1	0	0	0	0	0	3
Acidimicrobiales	271	603	139	77	243	159	1254	207	846	124	61	297	192	111	139	97	831	457	85	116	217	80	18	55	26	41	151
Rubrobacterales	17	31	4	6	8	14	93	17	55	7	3	35	20	16	21	3	175	60	25	17	11	1	0	0	2	3	6
Coriobacteriales	1658	28305	7188	2855	33333	3967	256830	17552	48222	11920	2105	32359	2298	4379	7380	3364	45444	57678	6441	6983	6482	5217	247	2144	665	253	3732
Eggerthellales	404	1368	288	165	814	522	5122	1249	3902	626	125	1258	506	397	585	216	2914	3702	533	431	760	209	52	74	35	59	352
Nitriliruptorales	4	16	3	0	2	2	14	2	17	2	0	6	3	2	5	0	12	8	3	1	2	3	1	0	0	0	1
Euzebyales	13	24	3	3	2	2	43	2	47	0	2	5	14	0	2	1	37	24	1	3	2	1	0	0	0	1	1
Egibacterales	1	19	2	5	4	2	25	2	9	0	5	4	2	2	4	1	24	26	0	3	5	0	0	0	1	1	0
Solirubrobacterales	32	130	20	10	21	22	150	30	174	12	13	75	23	13	16	15	176	126	11	19	30	5	2	2	2	1	16
Thermoleophilales	1	0	0	1	0	3	2	0	2	0	0	2	2	0	1	0	6	4	1	0	0	0	0	0	0	0	1
Mycoplasmatales	13114	42203	15942	8655	4587	1124	4401	559	2679	966	1684	1510	10403	2688	1119	1316	6599	491	2056	285	3529	233	91	301	381	339	13374
Entomoplasmatales	268	505	194	87	266	196	448	155	430	219	57	39	224	158	53	109	473	46	92	22	157	32	23	54	34	67	129
Acholeplasmatales	640	1540	526	316	1034	449	990	1294	748	403	79	130	859	2868	1289	135	1698	490	1788	119	6057	226	22	69	139	97	520
Anaeroplasmatales	43	54	14	8	27	40	42	35	99	30	2	10	41	20	3	20	92	4	10	5	31	2	5	13	6	19	7
Candidatus Eremiobacterales	4	3	1	2	0	4	11	5	7	1	0	4	3	1	0	0	8	8	0	1	0	0	0	1	0	3	0
Nitrospinales	44	115	23	4	29	26	126	33	80	17	6	35	40	12	3	25	72	32	8	23	27	4	4	11	7	15	22
Caldisericales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
Candidatus Cryosericales	3	36	2	4	5	4	63	2	9	1	2	3	3	3	1	2	8	5	2	3	6	2	0	0	1	1	3
Candidatus Peribacterales	2	18	12	3	6	5	19	0	9	1	2	4	3	2	2	8	50	5	1	2	8	2	0	1	1	0	2
Flavobacteriales	11461	14143	3751	2134	7577	6007	16264	5337	16226	6249	2206	2412	7518	4657	2438	3619	16485	3160	3423	2416	6062	2270	1132	2580	1355	2856	3670
Sphingobacteriales	2313	3501	851	443	1770	1599	4482	1364	5026	1456	557	826	1582	1188	656	1100	4884	936	879	698	1570	603	258	710	400	624	907
Bacteroidales	1782358	5884568	1063009	690676	2473496	1741431	6389441	3276160	9858837	4519906	1650512	1291233	957049	1253070	583855	2866613	7925137	929734	699082	511817	2735154	444327	198006	1711685	1443016	395107	865773
Marinilabiliales	1026	1657	354	203	1124	939	2862	675	2667	764	289	443	682	577	369	493	2316	614	509	383	889	460	144	324	100	235	542
Cytophagales	2431	4879	1124	586	2542	1882	7100	1757	5901	1658	749	1153	1749	1308	919	1166	6557	1563	1118	998	2005	784	282	823	449	618	1013
Bacteroidetes Order II. Incertae sedis	73	172	29	16	80	38	286	36	143	32	6	55	57	20	27	16	164	103	23	43	60	11	7	18	6	9	23
Chitinophagales	1677	2310	543	296	1213	896	3593	877	3162	782	325	542	1062	593	448	580	3122	761	509	492	1152	427	127	370	174	329	541
Saprospirales	224	355	94	47	396	218	1162	192	627	158	94	121	173	111	61	120	633	146	92	120	185	86	27	63	72	44	117
Chlorobiales	97	282	46	37	111	99	348	94	287	60	25	55	82	31	44	35	324	99	54	44	106	42	10	28	29	28	53
Ignavibacteriales	178	329	102	53	186	127	316	92	306	107	76	38	161	86	39	55	366	70	48	38	136	23	38	24	34	93	144
Rhodothermales	20	47	12	7	38	19	143	25	81	11	9	23	13	10	16	9	62	30	13	26	36	19	1	3	2	4	7
Balneolales	93	131	16	10	44	58	115	21	187	44	7	12	55	27	15	22	218	17	16	17	44	17	4	10	10	19	30
Nostocales	1569	2237	538	309	700	525	1515	553	1883	657	225	263	1103	351	204	293	1577	322	275	126	574	226	68	251	178	271	304
Pleurocapsales	64	73	19	7	33	59	149	17	86	18	5	7	68	13	10	16	88	19	11	0	29	11	1	5	5	14	7
Gloeobacterales	3	25	8	4	8	7	53	5	37	4	5	25	5	2	9	3	55	19	8	11	12	3	0	2	1	1	5
Synechococcales	550	1175	265	148	417	315	1429	290	1045	303	128	273	449	253	141	123	1245	382	159	150	452	116	29	122	88	102	200
Spirulinales	27	67	11	5	40	36	67	18	35	21	5	10	9	3	1	5	30	11	10	3	20	11	2	8	5	4	12
Chroococcidiopsidales	8	137	37	21	2	33	7	9	49	27	7	4	5	7	0	4	2	5	0	1	42	0	2	5	3	5	3
Gloeoemargaritales	0	7	2	1	0	0	10	2	4	1	0	3	1	1	0	1	5	6	0	1	3	0	0	1	0	1	0
Chroococcales	428	355	103	70	137	101	278	138	266	94	34	27	279	68	48	65	262	56	51	28	104	20	25	25	13	48	54
Oscillatoriales	1113	1231	268	151	568	572	1012	521	1073	396	112	189	704	275	106	364	1282	220	138	173	505	110	76	171	65	291	166
Candidatus Gastranaerophilales	16395	35457	3906	5042	11022	12336	19038	26570	47320	52828	4709	2115	15310	9998	1572	4782	17372	1371	2721	550	19043	1901	1057	6823	5038	2243	6621
Candidatus Caenarcaniphilales	12	26	18	7	18	13	22	3	26	6	2	2	12	5	3	2	22	1	6	2	15	1	3	2	1	3	4
Candidatus Babeliales	5	11	3	2	28	10	22	0	11	7	2	3	9	2	1	1	16	0	2	3	6	2	0	2	1	0	4
Thermococcales	104	131	25	21	45	69	149	37	164	22	16	33	73	25	32	20	136	43	26	27	42	22	3	6	2	7	22
Archaeoglobales	27	44	17	5	35	39	72	27	131	14	5	12	14	9	13	7	74	21	14	10	23	13	11	9	2	5	5
Methanopyrales	2	0	0	0	1	1	3	1	2	2	0	3	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1
Candidatus Methanoliparales	3	7	1	0	0	0	7	2	3	2	0	4	3	1	0	0	4	2	0	0	1	2	1	5	1	0	0
Methanobacteriales	8645	12364	4287	1987	4325	11633	5770	2792	24434	501	594	314	15473	4440	3161	312	4450	2331	5388	2671	3422	1715	2591	300	374	1436	3099
Methanococcales	205	145	46	29	40	49	56	112	97	43	6	15	126	30	12	18	52	9	22	8	59	10	20	40	18	21	29
Thermoplasmatales	39	76	17	21	20	53	73	23	125	107	10	38	34	12	12	14	81	33	13	36	29	16	4	5	3	10	31
Methanomassiliicoccales	8339	27139	4873	2246	870	4063	4017	110	36657	149	755	1084	8734	3701	3642	320	18171	13613	2619	5507	1138	122	12	10	592	427	2774
Candidatus Poseidoniales	384	439	126	47	137	173	394	123	483	102	40	57	256	95	52	78	425	111	81	48	159	55	15	41	18	127	89
Halobacteriales	166	432	88	45	112	100	755	116	584	67	30	255	142	43	64	35	524	410	38	70	116	45	14	29	10	14	79
Haloferacales	179	323	66	54	283	136	945	113	386	62	25	146	144	45	50	26	426	302	49	100	99	37	15	10	9	7	38
Natrialbales	44	148	33	12	58	63	261	53	221	45	20	91	56	14	23	21	265	184	24	41	45	13	8	6	6	6	41
Methanomicrobiales	253	745	131	79	229	327	771	134	1116	96	47	1059	239	110	116	60	656	294	126	194	193	106	23	46	31	94	181
Methanosarcinales	380	547	117	71	185	253	549	188	624	171	55	115	273	117	76	79	518	127	98	77	209	71	28	66	40	104	117
Methanocellales	12	70	38	8	17	8	18	10	21	0	3	6	12	6	3	0	21	14	11	3	6	5	0	0	0	0	13
Methanophagales	14	23	6	4	6	8	54	4	25	1	2	6	2	8	5	4	23	13	6	8	7	3	0	5	0	4	8
Thermoproteales	67	65	12	8	25	21	139	20	37	10	0	12	29	15	12	12	63	25	6	6	16	5	2	1	6	7	7
Sulfolobales	101	143	56	30	61	39	137	44	136	60	12	12	63	15	20	19	114	17	27	13	30	12	9	7	4	8	22
Desulfurococcales	11	38	10	4	26	33	57	8	41	11	1	8	1	20	5	10	47	8	5	4	8	3	4	1	4	1	8
Fervidicoccales	2	0	0	0	10	7	34	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Acidilobales	10	31	13	2	12	31	22	45	12	16	3	0	6	6	2	8	19	10	3	4	18	2	2	3	3	2	2
Nitrosopumilales	25	90	25	15	38	59	92	32	65	29	6	21	26	19	9	26	105	10	14	14	47	21	4	14	8	13	18
Cenarchaeales	0	2	1	0	0	0	3	0	4	0	0	2	0	1	5	0	2	24	1	0	0	0	0	0	0	0	1
Nitrososphaerales	32	91	28	16	28	16	84	28	63	82	8	13	23	18	7	9	74	15	19	14	55	8	3	7	16	5	13
Candidatus Nitrosocaldales	2	7	2	0	2	0	4	10	0	1	1	0	1	0	1	0	3	2	1	0	0	0	0	0	0	0	0
Candidatus Methanomethyliales	0	10	2	0	1	1	1	1	5	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1
Nanoarchaeales	7	0	1	0	8	1	3	0	2	1	0	1	6	2	1	0	3	0	1	0	22	0	0	5	0	1	0
Candidatus Altiarchaeales	33	52	14	6	18	19	32	10	55	14	1	20	30	6	6	3	41	15	11	1	31	3	6	1	2	8	5
