SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Candidatus Adlerbacteria	4	6	0	0	24	0	111	2	18	1	1	2	1	2	2	0	4	7	2	1	1	1	0	0	1	0	1
Candidatus Moranbacteria	187	361	79	88	134	82	272	69	237	227	24	47	144	98	30	28	237	48	46	82	147	68	20	17	70	29	90
Candidatus Giovannonibacteria	25	80	11	10	40	33	105	38	61	3	15	12	21	16	44	2	41	21	12	7	16	8	5	11	2	4	24
Candidatus Jorgensenbacteria	8	24	7	0	1	1	2	6	18	1	0	2	2	5	2	1	11	5	6	3	6	4	2	2	2	4	4
Candidatus Kuenenbacteria	15	38	14	7	9	6	18	16	12	16	2	7	15	3	3	5	24	1	4	0	8	1	2	4	0	0	4
Candidatus Azambacteria	15	25	8	3	7	119	19	12	66	3	1	2	7	1	1	1	19	8	5	3	6	0	0	2	2	41	8
Candidatus Andersenbacteria	5	13	3	3	7	5	14	2	14	3	2	3	3	1	1	2	10	1	0	0	10	5	2	0	0	3	2
Candidatus Brennerbacteria	1	3	0	0	4	0	4	9	0	2	6	0	1	0	0	0	3	0	1	0	0	0	0	3	0	0	1
Candidatus Buchananbacteria	29	65	10	4	20	18	36	10	56	17	0	10	27	13	5	10	39	10	3	6	14	2	1	5	7	5	4
Candidatus Colwellbacteria	6	17	5	2	5	3	5	6	98	0	2	1	10	4	1	0	12	3	0	0	3	1	0	0	0	0	2
Candidatus Harrisonbacteria	67	66	20	21	14	12	25	16	48	18	12	9	28	12	24	10	66	20	50	5	26	4	0	9	30	5	9
Candidatus Jacksonbacteria	3	8	3	0	0	3	3	1	2	2	0	2	3	1	0	0	5	0	0	0	4	6	0	0	0	0	2
Candidatus Kerfeldbacteria	14	44	7	6	43	23	109	13	27	19	4	4	15	11	9	11	37	8	8	9	9	6	4	4	7	16	7
Candidatus Komeilibacteria	12	25	8	5	10	10	24	3	36	13	2	10	10	8	3	2	12	7	7	4	30	10	1	7	0	7	7
Candidatus Liptonbacteria	2	13	3	4	15	12	34	3	11	0	0	2	7	3	0	1	34	8	2	4	4	2	0	0	1	2	3
Candidatus Lloydbacteria	9	32	1	2	2	4	15	8	7	3	4	0	9	3	2	0	15	5	0	1	2	0	0	0	1	0	1
Candidatus Nealsonbacteria	51	111	26	18	27	27	109	44	129	27	16	5	52	18	6	18	254	20	10	6	27	11	17	17	11	20	14
Candidatus Niyogibacteria	3	5	2	1	4	0	2	1	7	0	2	7	2	0	1	0	4	4	0	1	2	2	0	4	1	1	2
Candidatus Portnoybacteria	25	102	21	17	21	10	23	20	46	14	5	9	19	14	10	6	26	16	10	3	18	3	3	2	5	9	2
Candidatus Ryanbacteria	9	29	6	1	9	5	12	7	9	3	0	3	5	2	1	2	22	1	2	6	3	2	2	0	1	0	4
Candidatus Spechtbacteria	15	12	5	5	3	2	7	10	21	5	3	1	5	4	1	0	14	3	6	7	13	1	0	3	0	5	3
Candidatus Staskawiczbacteria	32	56	20	9	71	20	91	18	75	11	2	3	38	9	7	1	58	8	7	3	27	5	2	8	10	13	8
Candidatus Sungbacteria	16	49	12	3	10	21	63	8	52	26	2	15	20	6	8	10	53	8	7	7	13	3	11	1	4	2	9
Candidatus Tagabacteria	13	9	5	0	1	0	7	5	12	4	0	1	15	0	0	0	3	1	3	0	11	0	0	0	0	1	0
Candidatus Taylorbacteria	23	171	13	6	9	9	36	14	74	16	4	6	27	11	5	2	53	8	8	3	14	3	3	4	10	6	13
Candidatus Terrybacteria	6	24	4	5	6	2	12	8	7	1	0	2	5	0	4	4	34	9	8	6	15	1	1	0	0	2	1
Candidatus Veblenbacteria	0	2	1	1	0	2	1	0	3	0	0	0	2	0	1	2	6	0	0	0	1	0	0	0	0	0	1
Candidatus Vogelbacteria	6	19	1	2	31	9	52	9	40	6	2	16	12	7	3	1	24	7	3	10	10	3	1	5	5	0	6
Candidatus Wildermuthbacteria	16	34	10	5	12	6	45	6	23	6	1	7	13	4	6	1	27	4	41	3	0	0	0	1	0	1	1
Candidatus Yonathbacteria	7	10	1	1	1	10	12	11	16	2	2	1	7	11	3	1	13	4	1	5	34	2	16	0	4	2	1
Candidatus Zambryskibacteria	28	65	24	11	9	15	40	12	59	17	4	7	26	14	26	6	39	46	29	9	20	7	3	3	8	20	12
Euryarchaeota	18933	42928	9956	4674	6480	17196	14364	3923	65704	1466	1641	3326	25713	8738	7302	1088	26233	17656	8564	8880	5695	2306	2759	615	1193	2298	6644
Crenarchaeota	199	324	101	48	151	136	401	125	252	114	20	39	107	60	45	56	255	64	47	30	80	26	25	13	17	21	50
Candidatus Korarchaeota	6	2	2	1	1	4	5	5	7	4	0	3	5	6	0	1	10	1	0	0	2	1	0	2	1	0	1
Thaumarchaeota	167	401	106	54	143	133	343	106	281	144	28	70	152	79	40	65	388	77	53	48	155	47	19	40	29	40	66
Candidatus Bathyarchaeota	118	212	59	28	91	97	257	96	238	92	20	48	92	57	38	52	245	84	53	34	78	24	16	46	10	23	58
Candidatus Verstraetearchaeota	0	13	4	1	2	5	1	1	16	1	0	0	2	1	0	0	4	2	2	0	1	1	0	0	0	1	1
Candidatus Geothermarchaeota	1	3	2	0	1	1	6	0	3	2	1	1	0	1	3	0	0	3	0	2	0	0	1	1	0	0	0
Nanoarchaeota	7	0	1	0	8	1	3	0	2	1	0	1	6	2	1	0	3	0	1	0	22	0	0	5	0	1	0
Candidatus Aenigmarchaeota	23	21	3	1	18	30	33	3	37	9	4	1	20	5	7	3	28	3	2	1	9	3	1	2	3	5	7
Candidatus Diapherotrites	10	42	12	5	13	26	13	102	17	13	9	0	6	4	2	10	13	3	5	2	8	0	15	1	5	28	4
Candidatus Parvarchaeota	2	9	3	0	1	2	0	6	9	2	1	6	0	2	2	9	44	0	2	0	2	2	0	4	0	0	13
Candidatus Woesearchaeota	179	99	23	11	42	39	79	20	91	35	12	11	82	10	17	20	50	24	21	22	52	20	7	5	4	10	18
Candidatus Micrarchaeota	8	39	5	2	8	15	24	6	48	16	8	15	8	3	2	5	28	6	2	9	9	6	1	5	1	0	8
Candidatus Altiarchaeota	33	52	14	6	18	19	32	10	55	14	1	20	30	6	6	3	41	15	11	1	31	3	6	1	2	8	5
Candidatus Huberarchaea	0	0	0	0	0	0	0	0	1	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Lokiarchaeota	246	91	32	19	50	39	71	50	76	27	3	17	156	40	10	21	119	13	15	4	53	20	7	28	6	31	41
Candidatus Thorarchaeota	7	33	1	2	3	4	15	2	49	3	1	0	5	2	0	2	39	0	2	0	7	9	0	1	2	2	4
Candidatus Heimdallarchaeota	15	42	11	7	24	31	29	63	50	23	5	10	14	5	8	6	27	9	6	3	8	6	5	7	7	7	13
Candidatus Helarchaeota	1	9	2	1	4	4	3	4	8	1	0	0	2	7	2	1	7	1	2	7	6	1	0	0	0	1	24
